;Ultime partecipazioni al Festival;Artista;Brano;Autori;Ospite;Brano Cover;Autore Cover;Anno Cover;Quota;info;Nazionalità;Paese d'origine;Genere;Periodo di attività musicale;Etichetta;Studio;Raccolte;Strumento
10;2021.0;Madame;Il bene nel male;Bais, Brail e Madame;Izi;Via del Campo;Fabrizio De André;1967.0;12.0;"{0: {'Artista': 'Madame', ""Madame durante un'intervista nel 2021"": ""Madame durante un'intervista nel 2021"", nan: nan, 'Nazionalità': 'Italia', 'Genere[1]': 'Urban Pop rap', 'Periodo di attività\xa0musicale': '2018\xa0–\xa0in attività', 'Strumento': 'voce, pianoforte, chitarra', 'Etichetta': 'Sugar Music', 'Album pubblicati': '1', 'Studio': '1', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";Italia;;Urban Pop rap;2018 – in attività;Sugar Music;1;;voce, pianoforte, chitarra
11;;Mara Sattei;Duemilaminuti;D. David, D. Mattei, E. Brun;Noemi;L'amour toujours / I'll Fly with You;Gigi D'Agostino;1999.0;20.0;{};;;;;;;;
12;2013.0;Marco Mengoni;Due vite;D. Petrella, M. Mengoni e D. Simonetta;The Kingdom Choir;Let It Be;The Beatles;1970.0;3.0;"{0: {'Artista': 'Marco Mengoni', ""Marco Mengoni all'Eurovision Song Contest 2013"": ""Marco Mengoni all'Eurovision Song Contest 2013"", nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop[1]', 'Periodo di attività\xa0musicale': '2009\xa0–\xa0in attività', 'Etichetta': 'Sony Music', 'Album pubblicati': '11', 'Studio': '7', 'Live': '4', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";Italia;;Pop[1];2009 – in attività;Sony Music;7;;
13;;Mr. Rain;Supereroi;Mr. Rain, F. Abbate e L. Vizzini Bisaccia;Fasma;Qualcosa di grande;Lùnapop;2000.0;75.0;{0: {'Artista': 'Mr', 'Mr. Rain nel 2019': 'Mr. Rain nel 2019', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop rap', 'Periodo di attività\xa0musicale': '2011\xa0–\xa0in attività', 'Strumento': 'voce', 'Etichetta': 'Atlantic Records/Warner Music Italy', 'Album pubblicati': '4', 'Studio': '4', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop rap;2011 – in attività;Atlantic Records/Warner Music Italy;4;;voce
14;;Olly;Polvere;Olly, E. Lovito e J. Boverod;Lorella Cuccarini;La notte vola;Lorella Cuccarini;1989.0;150.0;"{0: {'Artista': 'Lalli', 'Lalli in concerto a Torino nel 2016': 'Lalli in concerto a Torino nel 2016', nan: nan, 'Nazionalità': 'Italia', 'Genere': ""Indie rock Musica d'autore Punk rock"", 'Periodo di attività\xa0musicale': '1977\xa0–\xa0in attività', 'Gruppi': 'Franti, Howth Castle, Environs', 'Album pubblicati': '4 (da solista)', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";Italia;;Indie rock Musica d'autore Punk rock;1977 – in attività;;;;
15;;Rosa Chemical;Made in Italy;Rosa Chemical, P. Antonacci, D. Simonetta e O. Inglese;Rose Villain;America;Gianna Nannini;1979.0;100.0;{0: {'Artista': 'Rosa Chemical', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Hip hop Comedy hip hop Trap', 'Periodo di attività\xa0musicale': '2015\xa0–\xa0in attività', 'Etichetta': 'Thaurus, Universal Music Group', 'Album pubblicati': '2', 'Studio': '1', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Hip hop Comedy hip hop Trap;2015 – in attività;Thaurus, Universal Music Group;1;;
16;;Shari;Egoista;L. Fenudi, S. Noioso, Salmo e R. Puddu;Salmo;Medley Zucchero;Zucchero;;150.0;{0: {'Artista': 'Shari', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop Soul', 'Periodo di attività\xa0musicale': '2016\xa0–\xa0in attività', 'Strumento': 'Voce, pianoforte', 'Etichetta': 'Columbia Records, Sony Music', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop Soul;2016 – in attività;Columbia Records, Sony Music;;;Voce, pianoforte
17;2022.0;Tananai;Tango;P. Antonacci, D. Simonetta, Tananai e A. Raina;Don Joe;Vorrei cantare come Biagio;Simone Cristicchi;2005.0;25.0;{0: {'Artista': 'Tananai', 'Tananai in concerto a Milano nel 2022': 'Tananai in concerto a Milano nel 2022', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Indie pop[1] Alternative dance[2]', 'Periodo di attività\xa0musicale': '2014\xa0–\xa0in attività', 'Strumento': 'voce, pianoforte', 'Etichetta': 'Universal Music Italia', 'Album pubblicati': '2', 'Studio': '2', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Indie pop[1] Alternative dance[2];2014 – in attività;Universal Music Italia;2;;voce, pianoforte
18;2019.0;Ultimo;Alba;Ultimo;Eros Ramazzotti;Medley Eros Ramazzotti;Eros Ramazzotti;;3.5;{0: {'Artista': 'Ultimo', 'Ultimo nel 2019': 'Ultimo nel 2019', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop[1]', 'Periodo di attività\xa0musicale': '2016\xa0–\xa0in attività', 'Strumento': 'Voce, pianoforte, chitarra', 'Etichetta': 'Honiro Label (2016-2020) Ultimo Records (2020-in corso)', 'Album pubblicati': '4', 'Studio': '4', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop[1];2016 – in attività;Honiro Label (2016-2020) Ultimo Records (2020-in corso);4;;Voce, pianoforte, chitarra
19;;Will;Stupido;S. Cremonini, A. Pugliese e Will;Michele Zarrillo;Cinque giorni;Michele Zarrillo;1994.0;150.0;{0: {'Artista': 'Will', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop', 'Periodo di attività\xa0musicale': '2019\xa0–\xa0in attività', 'Etichetta': 'Capitol Records, Universal Music Group', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop;2019 – in attività;Capitol Records, Universal Music Group;;;
